iteration,recall,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
281,0.9516920058852378,2022-09-23 22:19:10.743642,2022-09-23 22:20:08.838554,0 days 00:00:58.094912,19.0,342.0,120.0,5.0,479.0,385.0,COMPLETE
296,0.9516920058852378,2022-09-23 22:29:54.202464,2022-09-23 22:30:39.327418,0 days 00:00:45.124954,18.0,340.0,70.0,6.0,496.0,300.0,COMPLETE
74,0.9516787508450089,2022-09-23 19:31:45.840144,2022-09-23 19:32:29.940942,0 days 00:00:44.100798,33.0,349.0,73.0,8.0,477.0,290.0,COMPLETE
135,0.9516787508450089,2022-09-23 20:28:12.510696,2022-09-23 20:29:01.613526,0 days 00:00:49.102830,21.0,346.0,120.0,4.0,470.0,324.0,COMPLETE
237,0.9516754370849515,2022-09-23 21:47:00.601013,2022-09-23 21:47:45.999766,0 days 00:00:45.398753,21.0,343.0,111.0,10.0,464.0,300.0,COMPLETE
40,0.9516645846242549,2022-09-23 18:55:41.114784,2022-09-23 18:56:45.568378,0 days 00:01:04.453594,35.0,346.0,77.0,25.0,413.0,335.0,COMPLETE
285,0.9516588682846653,2022-09-23 22:22:13.151549,2022-09-23 22:22:56.622212,0 days 00:00:43.470663,20.0,339.0,113.0,5.0,502.0,285.0,COMPLETE
287,0.9516489270044934,2022-09-23 22:23:38.388358,2022-09-23 22:24:21.587162,0 days 00:00:43.198804,20.0,342.0,116.0,4.0,478.0,282.0,COMPLETE
121,0.9516489270044934,2022-09-23 20:16:39.934825,2022-09-23 20:17:24.449277,0 days 00:00:44.514452,23.0,346.0,103.0,8.0,482.0,293.0,COMPLETE
243,0.9516456132444362,2022-09-23 21:51:29.412088,2022-09-23 21:52:15.705331,0 days 00:00:46.293243,18.0,349.0,116.0,4.0,488.0,306.0,COMPLETE
224,0.9516389857243217,2022-09-23 21:36:34.964345,2022-09-23 21:37:19.801525,0 days 00:00:44.837180,21.0,345.0,120.0,6.0,477.0,295.0,COMPLETE
138,0.9516356719642645,2022-09-23 20:30:38.826599,2022-09-23 20:31:26.734835,0 days 00:00:47.908236,23.0,343.0,118.0,5.0,457.0,318.0,COMPLETE
137,0.9516356719642645,2022-09-23 20:29:53.326318,2022-09-23 20:30:38.826356,0 days 00:00:45.500038,19.0,350.0,110.0,29.0,450.0,301.0,COMPLETE
103,0.9516356719642645,2022-09-23 19:58:44.755983,2022-09-23 20:00:00.806711,0 days 00:01:16.050728,31.0,348.0,68.0,6.0,450.0,506.0,COMPLETE
41,0.9516347622661016,2022-09-23 18:56:45.568774,2022-09-23 18:57:38.583153,0 days 00:00:53.014379,21.0,331.0,74.0,6.0,463.0,273.0,COMPLETE
182,0.9516323582042071,2022-09-23 21:04:28.297294,2022-09-23 21:05:12.931176,0 days 00:00:44.633882,21.0,346.0,107.0,9.0,486.0,295.0,COMPLETE
212,0.9516257306840926,2022-09-23 21:27:33.349893,2022-09-23 21:28:19.912812,0 days 00:00:46.562919,23.0,347.0,119.0,4.0,478.0,306.0,COMPLETE
187,0.9516157894039209,2022-09-23 21:08:16.750690,2022-09-23 21:08:57.890175,0 days 00:00:41.139485,23.0,341.0,109.0,7.0,492.0,272.0,COMPLETE
89,0.9516124756438635,2022-09-23 19:47:06.706694,2022-09-23 19:47:48.729041,0 days 00:00:42.022347,29.0,334.0,82.0,4.0,464.0,277.0,COMPLETE
104,0.9516124756438635,2022-09-23 20:00:00.806931,2022-09-23 20:01:21.264766,0 days 00:01:20.457835,32.0,343.0,72.0,7.0,440.0,537.0,COMPLETE
253,0.951605848123749,2022-09-23 21:58:41.130453,2022-09-23 21:59:22.963129,0 days 00:00:41.832676,19.0,342.0,120.0,5.0,493.0,276.0,COMPLETE
48,0.951605848123749,2022-09-23 19:12:47.699901,2022-09-23 19:13:40.447806,0 days 00:00:52.747905,34.0,341.0,67.0,4.0,394.0,351.0,COMPLETE
