iteration,recall,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
612,0.9028466819221967,2022-07-03 00:20:13.276082,2022-07-03 00:20:14.962441,0 days 00:00:01.686359,9.1,0.3432282075128122,52.0,33024605.0,l1,0.06804252776504556,COMPLETE
1313,0.9028466819221967,2022-07-03 00:41:50.750663,2022-07-03 00:41:53.107346,0 days 00:00:02.356683,1.5000000000000002,0.4631861896507412,390.0,46615100.0,l1,0.07136873313602661,COMPLETE
619,0.9028466819221967,2022-07-03 00:20:24.198638,2022-07-03 00:20:25.890535,0 days 00:00:01.691897,5.5,0.03832872962003226,485.0,4092855.0,l1,0.07097393512238591,COMPLETE
1010,0.9028466819221967,2022-07-03 00:31:59.889955,2022-07-03 00:32:01.755551,0 days 00:00:01.865596,8.1,0.5090943887821321,299.0,27397800.0,l1,0.061632206457711926,COMPLETE
621,0.9028466819221967,2022-07-03 00:20:27.913991,2022-07-03 00:20:29.578385,0 days 00:00:01.664394,5.2,0.36270624467982543,177.0,25439703.0,l1,0.06422407523373952,COMPLETE
623,0.9028466819221967,2022-07-03 00:20:34.734198,2022-07-03 00:20:36.421074,0 days 00:00:01.686876,2.3000000000000003,0.8722445959217725,359.0,46139096.0,l1,0.06453362254567194,COMPLETE
624,0.9028466819221967,2022-07-03 00:20:36.421825,2022-07-03 00:20:38.109419,0 days 00:00:01.687594,5.5,0.6311736325346594,488.0,3629284.0,l1,0.07055292038944164,COMPLETE
1121,0.9028466819221967,2022-07-03 00:35:26.313126,2022-07-03 00:35:28.525808,0 days 00:00:02.212682,1.0,0.3549974656629974,367.0,43373530.0,l1,0.06934006004699297,COMPLETE
626,0.9028466819221967,2022-07-03 00:20:39.781642,2022-07-03 00:20:41.460723,0 days 00:00:01.679081,9.5,0.824071394577565,375.0,49350547.0,l1,0.06552648178098469,COMPLETE
627,0.9028466819221967,2022-07-03 00:20:41.461342,2022-07-03 00:20:43.148075,0 days 00:00:01.686733,5.7,0.6471855846000071,495.0,4313712.0,l1,0.07006113128674024,COMPLETE
1255,0.9028466819221967,2022-07-03 00:39:55.545429,2022-07-03 00:39:57.534750,0 days 00:00:01.989321,1.7000000000000002,0.28371523896555184,423.0,49264215.0,l1,0.06756901848667372,COMPLETE
1115,0.9028466819221967,2022-07-03 00:35:15.723232,2022-07-03 00:35:17.632135,0 days 00:00:01.908903,0.8,0.41450443914353496,409.0,45346391.0,l1,0.07238827498462932,COMPLETE
630,0.9028466819221967,2022-07-03 00:20:46.515962,2022-07-03 00:20:48.199126,0 days 00:00:01.683164,4.0,0.6597739337581136,323.0,33444565.0,l1,0.06909678569387144,COMPLETE
631,0.9028466819221967,2022-07-03 00:20:48.199857,2022-07-03 00:20:50.206634,0 days 00:00:02.006777,3.9000000000000004,0.7857533266482344,335.0,33554556.0,l1,0.06963260592350065,COMPLETE
657,0.9028466819221967,2022-07-03 00:21:30.975176,2022-07-03 00:21:32.998881,0 days 00:00:02.023705,1.1,0.9675186655097232,139.0,32211787.0,l1,0.07054071598604997,COMPLETE
661,0.9028466819221967,2022-07-03 00:21:37.207084,2022-07-03 00:21:38.906346,0 days 00:00:01.699262,4.5,0.9244560001681124,188.0,21780464.0,l1,0.06530847341147485,COMPLETE
1114,0.9028466819221967,2022-07-03 00:35:13.496385,2022-07-03 00:35:15.722091,0 days 00:00:02.225706,1.5000000000000002,0.34514968176241334,382.0,43777608.0,l1,0.0701872496813833,COMPLETE
