iteration,f1_weighted,datetime_start,datetime_complete,duration,alpha,solver,state
624,0.9648692737989603,2022-06-12 14:57:31.070510,2022-06-12 14:57:32.020623,0 days 00:00:00.950113,8.084135300646262,svd,COMPLETE
546,0.9648692737989603,2022-06-12 14:56:18.514173,2022-06-12 14:56:19.440915,0 days 00:00:00.926742,0.9088944654071335,svd,COMPLETE
547,0.9648692737989603,2022-06-12 14:56:19.441386,2022-06-12 14:56:20.378036,0 days 00:00:00.936650,0.9968963554392011,svd,COMPLETE
548,0.9648692737989603,2022-06-12 14:56:20.378503,2022-06-12 14:56:21.303884,0 days 00:00:00.925381,1.16701410531005,svd,COMPLETE
549,0.9648692737989603,2022-06-12 14:56:21.304361,2022-06-12 14:56:22.479232,0 days 00:00:01.174871,0.8562751912211213,svd,COMPLETE
550,0.9648692737989603,2022-06-12 14:56:22.479694,2022-06-12 14:56:23.389381,0 days 00:00:00.909687,0.6566616341938022,svd,COMPLETE
551,0.9648692737989603,2022-06-12 14:56:23.389846,2022-06-12 14:56:24.312886,0 days 00:00:00.923040,1.134496337740268,svd,COMPLETE
552,0.9648692737989603,2022-06-12 14:56:24.313390,2022-06-12 14:56:25.241270,0 days 00:00:00.927880,0.6932457319940152,svd,COMPLETE
995,0.9648692737989603,2022-06-12 15:03:33.673925,2022-06-12 15:03:34.691552,0 days 00:00:01.017627,7.173292584032339,svd,COMPLETE
994,0.9648692737989603,2022-06-12 15:03:32.655041,2022-06-12 15:03:33.673183,0 days 00:00:01.018142,7.051082880787425,svd,COMPLETE
554,0.9648692737989603,2022-06-12 14:56:25.840587,2022-06-12 14:56:26.770999,0 days 00:00:00.930412,0.4082113103602314,svd,COMPLETE
555,0.9648692737989603,2022-06-12 14:56:26.771460,2022-06-12 14:56:27.697201,0 days 00:00:00.925741,0.8620566122617477,svd,COMPLETE
545,0.9648692737989603,2022-06-12 14:56:17.578649,2022-06-12 14:56:18.513700,0 days 00:00:00.935051,1.2686779401086807,svd,COMPLETE
556,0.9648692737989603,2022-06-12 14:56:27.697672,2022-06-12 14:56:28.623483,0 days 00:00:00.925811,0.5863037489949,svd,COMPLETE
