iteration,roc_weighted,datetime_start,datetime_complete,duration,C,l1_ratio,linesearch_max_iter,max_iter,penalty,tol,state
781,0.877046079914837,2022-07-03 01:24:18.799742,2022-07-03 01:24:26.765405,0 days 00:00:07.965663,9.4,0.41427770210432574,344,14520301,l1,0.0011829029044602979,COMPLETE
830,0.8769140659857314,2022-07-03 01:26:32.364100,2022-07-03 01:26:35.763361,0 days 00:00:03.399261,7.8,0.4585497521677656,463,5228173,l1,1.3539571786658457e-05,COMPLETE
898,0.8768212168132021,2022-07-03 01:29:24.746987,2022-07-03 01:29:27.991658,0 days 00:00:03.244671,9.700000000000001,0.31244331878008497,473,4356366,l1,0.0019717847535317343,COMPLETE
919,0.8766912938293882,2022-07-03 01:30:17.005821,2022-07-03 01:30:20.819576,0 days 00:00:03.813755,9.8,0.3546699880898272,462,1535275,l1,0.003083292888857273,COMPLETE
645,0.8766824476341921,2022-07-03 01:18:22.909931,2022-07-03 01:18:25.670765,0 days 00:00:02.760834,8.8,0.4114108869813369,458,9361006,l1,0.001907338007088701,COMPLETE
316,0.8766168390839376,2022-07-03 01:04:19.400095,2022-07-03 01:04:21.642549,0 days 00:00:02.242454,1.4000000000000001,0.5294195552545884,91,5581754,l1,0.008378544838690733,COMPLETE
345,0.8765998557312187,2022-07-03 01:05:19.427722,2022-07-03 01:05:21.759042,0 days 00:00:02.331320,1.4000000000000001,0.5012502606720183,62,5799798,l1,0.005936462208549459,COMPLETE
751,0.8765942554745901,2022-07-03 01:22:52.091010,2022-07-03 01:22:55.113998,0 days 00:00:03.022988,8.2,0.3631308467906566,363,9619185,l1,4.500347844558879e-05,COMPLETE
723,0.8765806936422851,2022-07-03 01:21:47.657465,2022-07-03 01:21:50.501203,0 days 00:00:02.843738,4.7,0.15392809872704277,490,19858931,l1,0.004139256790829421,COMPLETE
306,0.8765778131600822,2022-07-03 01:03:58.801065,2022-07-03 01:04:01.504472,0 days 00:00:02.703407,1.8000000000000003,0.5007577826334565,95,3421830,l1,0.014049875045456364,COMPLETE
802,0.8765209265556738,2022-07-03 01:25:18.249701,2022-07-03 01:25:21.141033,0 days 00:00:02.891332,9.8,0.3117296749438639,419,8654925,l1,0.005714687755865692,COMPLETE
569,0.876519603272237,2022-07-03 01:14:43.608174,2022-07-03 01:14:46.349800,0 days 00:00:02.741626,9.8,0.32269425668520235,447,7582632,l1,0.0064375430145689645,COMPLETE
924,0.8764934666014403,2022-07-03 01:30:42.740406,2022-07-03 01:30:45.719142,0 days 00:00:02.978736,9.8,0.3334540504300223,421,3399846,l1,0.004152075406655451,COMPLETE
896,0.8764869598502361,2022-07-03 01:29:19.168342,2022-07-03 01:29:22.153640,0 days 00:00:02.985298,9.8,0.31927377763309567,460,3189646,l1,0.0034193358395434585,COMPLETE
889,0.8764869598502361,2022-07-03 01:29:00.003912,2022-07-03 01:29:02.975738,0 days 00:00:02.971826,9.8,0.32666865789991933,484,9220620,l1,0.0032301808224324668,COMPLETE
906,0.8764843132833626,2022-07-03 01:29:44.890059,2022-07-03 01:29:47.855373,0 days 00:00:02.965314,9.8,0.3273888895234582,451,2839003,l1,0.0037310886359944646,COMPLETE
910,0.8764517576522847,2022-07-03 01:29:53.586896,2022-07-03 01:29:56.089659,0 days 00:00:02.502763,9.4,0.3276863516558148,423,1867506,l1,0.0032536568379675323,COMPLETE
989,0.8763936501387334,2022-07-03 01:33:18.762913,2022-07-03 01:33:22.195379,0 days 00:00:03.432466,8.9,0.38293049365566545,431,10382915,l1,0.016830871190533028,COMPLETE
