iteration,roc_weighted,datetime_start,datetime_complete,duration,max_depth,max_leaves,min_samples_leaf,min_samples_split,n_bins,n_estimators,state
206,0.8702393899073482,2022-06-11 12:26:43.062397,2022-06-11 12:28:07.206432,0 days 00:01:24.144035,43.0,492.0,141.0,6.0,176.0,307.0,COMPLETE
72,0.8702387319114725,2022-06-11 09:22:03.080892,2022-06-11 09:23:21.119202,0 days 00:01:18.038310,49.0,491.0,131.0,3.0,291.0,272.0,COMPLETE
230,0.8702349813931208,2022-06-11 12:58:23.215444,2022-06-11 12:59:38.266576,0 days 00:01:15.051132,42.0,491.0,144.0,10.0,168.0,274.0,COMPLETE
210,0.8702316768303717,2022-06-11 12:32:01.364810,2022-06-11 12:33:20.645567,0 days 00:01:19.280757,44.0,414.0,134.0,9.0,157.0,285.0,COMPLETE
242,0.8702257257007492,2022-06-11 13:14:17.205931,2022-06-11 13:15:37.551831,0 days 00:01:20.345900,41.0,423.0,142.0,8.0,224.0,292.0,COMPLETE
277,0.8702218582247329,2022-06-11 14:02:48.445431,2022-06-11 14:04:48.314342,0 days 00:01:59.868911,40.0,500.0,141.0,6.0,217.0,426.0,COMPLETE
183,0.8702088447223242,2022-06-11 11:55:15.256154,2022-06-11 11:56:35.797147,0 days 00:01:20.540993,45.0,500.0,135.0,9.0,168.0,293.0,COMPLETE
130,0.8701860126142765,2022-06-11 10:42:27.831707,2022-06-11 10:43:57.633210,0 days 00:01:29.801503,40.0,500.0,81.0,4.0,361.0,314.0,COMPLETE
189,0.870185252244107,2022-06-11 12:03:19.621393,2022-06-11 12:04:32.986996,0 days 00:01:13.365603,46.0,481.0,133.0,10.0,205.0,261.0,COMPLETE
154,0.8701781898713209,2022-06-11 11:15:55.282666,2022-06-11 11:17:08.763821,0 days 00:01:13.481155,47.0,500.0,141.0,6.0,219.0,261.0,COMPLETE
119,0.8701500646295265,2022-06-11 10:27:33.933801,2022-06-11 10:29:01.996353,0 days 00:01:28.062552,29.0,486.0,131.0,9.0,459.0,304.0,COMPLETE
158,0.870140918603134,2022-06-11 11:21:01.464408,2022-06-11 11:22:07.262319,0 days 00:01:05.797911,47.0,494.0,143.0,7.0,178.0,236.0,COMPLETE
190,0.8701356181777017,2022-06-11 12:04:32.987242,2022-06-11 12:05:55.132734,0 days 00:01:22.145492,45.0,489.0,139.0,7.0,228.0,296.0,COMPLETE
55,0.8700598547321851,2022-06-11 08:58:50.463959,2022-06-11 09:00:19.388565,0 days 00:01:28.924606,46.0,500.0,144.0,4.0,478.0,310.0,COMPLETE
245,0.870031400492453,2022-06-11 13:18:13.258989,2022-06-11 13:19:37.164166,0 days 00:01:23.905177,39.0,494.0,141.0,9.0,213.0,298.0,COMPLETE
286,0.8700144244314193,2022-06-11 14:15:43.182527,2022-06-11 14:17:00.927564,0 days 00:01:17.745037,38.0,493.0,148.0,7.0,201.0,276.0,COMPLETE
65,0.8699954525077026,2022-06-11 09:13:32.071495,2022-06-11 09:14:55.549684,0 days 00:01:23.478189,49.0,455.0,140.0,8.0,496.0,295.0,COMPLETE
285,0.869956192668518,2022-06-11 14:14:28.564799,2022-06-11 14:15:43.182180,0 days 00:01:14.617381,36.0,485.0,44.0,6.0,180.0,271.0,COMPLETE
75,0.8699474780143573,2022-06-11 09:25:48.868486,2022-06-11 09:27:09.564393,0 days 00:01:20.695907,42.0,472.0,122.0,5.0,314.0,286.0,COMPLETE
139,0.869940203601298,2022-06-11 10:56:35.105993,2022-06-11 10:58:05.537694,0 days 00:01:30.431701,35.0,488.0,130.0,8.0,265.0,320.0,COMPLETE
260,0.8699265248113283,2022-06-11 13:37:38.240079,2022-06-11 13:38:50.139236,0 days 00:01:11.899157,41.0,483.0,145.0,9.0,214.0,258.0,COMPLETE
77,0.8699258741071378,2022-06-11 09:28:35.237479,2022-06-11 09:29:53.065074,0 days 00:01:17.827595,47.0,478.0,118.0,3.0,331.0,272.0,COMPLETE
